epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.855,0.50294,0.78249,1.04053,0.95428,0.9947,0.95897,0.91793,0.30255,16.3552,0.82743,0.00333028,0.00333028,0.00333028
2,749.815,0.45014,0.40563,0.97016,0.95401,0.99462,0.9568,0.91602,0.31918,16.4997,0.848,0.00659765,0.00659765,0.00659765
3,1117.29,0.4751,0.39208,0.99263,0.95378,0.99376,0.95227,0.90722,0.33273,15.1715,0.84355,0.00979901,0.00979901,0.00979901
4,1480.86,0.46602,0.36251,0.99245,0.95268,0.99217,0.96202,0.92552,0.30698,14.3071,0.83318,0.009703,0.009703,0.009703
5,1847.3,0.42993,0.32806,0.9699,0.95414,0.99475,0.96485,0.93863,0.26566,14.8975,0.82134,0.009604,0.009604,0.009604
6,2213.9,0.40815,0.31431,0.96105,0.95403,0.9943,0.96806,0.94586,0.26447,14.4944,0.82364,0.009505,0.009505,0.009505
7,2577.85,0.39676,0.30544,0.9551,0.94273,0.97773,0.96274,0.93052,0.29111,14.0633,0.83564,0.009406,0.009406,0.009406
8,2944.09,0.38778,0.29897,0.94568,0.9585,0.99475,0.96593,0.94652,0.25076,12.9304,0.81092,0.009307,0.009307,0.009307
9,3310.62,0.37691,0.28406,0.94027,0.95961,0.99437,0.97256,0.95219,0.23949,12.9327,0.80262,0.009208,0.009208,0.009208
10,3674.65,0.36234,0.27531,0.93266,0.96118,0.99427,0.97337,0.95559,0.24306,11.5658,0.81016,0.009109,0.009109,0.009109
11,4041.7,0.3538,0.26916,0.92806,0.95858,0.99462,0.97267,0.95644,0.23657,14.0107,0.80666,0.00901,0.00901,0.00901
12,4408.33,0.34761,0.26244,0.92438,0.96045,0.99475,0.97064,0.95698,0.23059,13.0861,0.80231,0.008911,0.008911,0.008911
13,4780.75,0.34126,0.26194,0.92009,0.96128,0.99475,0.97151,0.9581,0.22831,10.8354,0.80153,0.008812,0.008812,0.008812
14,5151.33,0.33639,0.25931,0.91812,0.96536,0.99368,0.97558,0.96335,0.2177,9.13855,0.79617,0.008713,0.008713,0.008713
15,5523.42,0.32777,0.25639,0.91554,0.9646,0.994,0.97416,0.96067,0.23348,9.64872,0.80219,0.008614,0.008614,0.008614
16,5891.67,0.32648,0.24825,0.9176,0.96454,0.99412,0.97666,0.9643,0.21672,9.95624,0.79845,0.008515,0.008515,0.008515
17,6258.7,0.32499,0.24944,0.91787,0.96617,0.9933,0.97517,0.96416,0.21899,9.70221,0.79948,0.008416,0.008416,0.008416
18,6631.15,0.32154,0.24519,0.9152,0.96458,0.99475,0.97534,0.96514,0.20854,9.4948,0.79482,0.008317,0.008317,0.008317
