train_id,num_annotations,num_images
0,535,535
1,449,449
2,537,537
3,170,166
4,232,232
5,153,153
6,45,45
7,256,256
8,640,640
9,468,468
10,284,284
11,404,404
12,341,340
13,296,296
14,448,448
15,292,292
16,295,295
17,344,344
18,450,450
19,342,341
20,449,449
21,533,533
22,330,330
23,372,371
24,539,539
25,641,641
26,353,353
27,358,358
28,369,369
29,537,537
30,452,452
31,538,538
32,389,389
33,345,345
34,278,278
35,288,288
36,639,639
37,285,285
38,822,822
39,578,578
40,592,592
41,933,930
42,913,912
43,146,146
44,204,203
45,143,143
46,147,147
47,152,152
48,440,440
49,206,205
50,434,434
51,358,358
52,373,373
53,151,151
54,596,596
55,84,84
56,90,90
57,81,81
58,462,462
59,194,192
60,172,172
61,206,206
62,160,160
63,458,458
64,320,320
65,436,436
66,152,152
67,432,432
68,441,441
69,84,84
70,204,203
71,358,358
72,446,446
73,458,458
74,381,381
75,451,451
76,360,360
77,449,449
78,450,450
79,438,438
80,416,416
81,198,197
82,159,159
83,84,84
84,437,437
85,193,192
86,192,191
87,578,578
88,450,450
89,155,155
90,437,437
91,373,373
92,193,191
93,138,138
94,423,423
95,143,143
96,198,196
97,83,83
98,199,199
99,156,156
100,149,149
101,429,429
102,580,580
103,356,356
104,572,572
105,381,381
106,165,165
107,108,108
108,374,374
109,381,381
110,359,359
111,369,369
112,149,149
113,374,374
114,201,201
115,368,368
116,380,380
117,449,449
