cls   0 | anns   535 | imgs  535
cls   1 | anns   449 | imgs  449
cls   2 | anns   537 | imgs  537
cls   3 | anns   170 | imgs  166
cls   4 | anns   232 | imgs  232
cls   5 | anns   153 | imgs  153
cls   6 | anns    45 | imgs   45
cls   7 | anns   256 | imgs  256
cls   8 | anns   640 | imgs  640
cls   9 | anns   468 | imgs  468
cls  10 | anns   284 | imgs  284
cls  11 | anns   404 | imgs  404
cls  12 | anns   341 | imgs  340
cls  13 | anns   296 | imgs  296
cls  14 | anns   448 | imgs  448
cls  15 | anns   292 | imgs  292
cls  16 | anns   295 | imgs  295
cls  17 | anns   344 | imgs  344
cls  18 | anns   450 | imgs  450
cls  19 | anns   342 | imgs  341
cls  20 | anns   449 | imgs  449
cls  21 | anns   533 | imgs  533
cls  22 | anns   330 | imgs  330
cls  23 | anns   372 | imgs  371
cls  24 | anns   539 | imgs  539
cls  25 | anns   641 | imgs  641
cls  26 | anns   353 | imgs  353
cls  27 | anns   358 | imgs  358
cls  28 | anns   369 | imgs  369
cls  29 | anns   537 | imgs  537
cls  30 | anns   452 | imgs  452
cls  31 | anns   538 | imgs  538
cls  32 | anns   389 | imgs  389
cls  33 | anns   345 | imgs  345
cls  34 | anns   278 | imgs  278
cls  35 | anns   288 | imgs  288
cls  36 | anns   639 | imgs  639
cls  37 | anns   285 | imgs  285
cls  38 | anns   822 | imgs  822
cls  39 | anns   578 | imgs  578
cls  40 | anns   592 | imgs  592
cls  41 | anns   933 | imgs  930
cls  42 | anns   913 | imgs  912
cls  43 | anns   146 | imgs  146
cls  44 | anns   204 | imgs  203
cls  45 | anns   143 | imgs  143
cls  46 | anns   147 | imgs  147
cls  47 | anns   152 | imgs  152
cls  48 | anns   440 | imgs  440
cls  49 | anns   206 | imgs  205
cls  50 | anns   434 | imgs  434
cls  51 | anns   358 | imgs  358
cls  52 | anns   373 | imgs  373
cls  53 | anns   151 | imgs  151
cls  54 | anns   596 | imgs  596
cls  55 | anns    84 | imgs   84
cls  56 | anns    90 | imgs   90
cls  57 | anns    81 | imgs   81
cls  58 | anns   462 | imgs  462
cls  59 | anns   194 | imgs  192
cls  60 | anns   172 | imgs  172
cls  61 | anns   206 | imgs  206
cls  62 | anns   160 | imgs  160
cls  63 | anns   458 | imgs  458
cls  64 | anns   320 | imgs  320
cls  65 | anns   436 | imgs  436
cls  66 | anns   152 | imgs  152
cls  67 | anns   432 | imgs  432
cls  68 | anns   441 | imgs  441
cls  69 | anns    84 | imgs   84
cls  70 | anns   204 | imgs  203
cls  71 | anns   358 | imgs  358
cls  72 | anns   446 | imgs  446
cls  73 | anns   458 | imgs  458
cls  74 | anns   381 | imgs  381
cls  75 | anns   451 | imgs  451
cls  76 | anns   360 | imgs  360
cls  77 | anns   449 | imgs  449
cls  78 | anns   450 | imgs  450
cls  79 | anns   438 | imgs  438
cls  80 | anns   416 | imgs  416
cls  81 | anns   198 | imgs  197
cls  82 | anns   159 | imgs  159
cls  83 | anns    84 | imgs   84
cls  84 | anns   437 | imgs  437
cls  85 | anns   193 | imgs  192
cls  86 | anns   192 | imgs  191
cls  87 | anns   578 | imgs  578
cls  88 | anns   450 | imgs  450
cls  89 | anns   155 | imgs  155
cls  90 | anns   437 | imgs  437
cls  91 | anns   373 | imgs  373
cls  92 | anns   193 | imgs  191
cls  93 | anns   138 | imgs  138
cls  94 | anns   423 | imgs  423
cls  95 | anns   143 | imgs  143
cls  96 | anns   198 | imgs  196
cls  97 | anns    83 | imgs   83
cls  98 | anns   199 | imgs  199
cls  99 | anns   156 | imgs  156
cls 100 | anns   149 | imgs  149
cls 101 | anns   429 | imgs  429
cls 102 | anns   580 | imgs  580
cls 103 | anns   356 | imgs  356
cls 104 | anns   572 | imgs  572
cls 105 | anns   381 | imgs  381
cls 106 | anns   165 | imgs  165
cls 107 | anns   108 | imgs  108
cls 108 | anns   374 | imgs  374
cls 109 | anns   381 | imgs  381
cls 110 | anns   359 | imgs  359
cls 111 | anns   369 | imgs  369
cls 112 | anns   149 | imgs  149
cls 113 | anns   374 | imgs  374
cls 114 | anns   201 | imgs  201
cls 115 | anns   368 | imgs  368
cls 116 | anns   380 | imgs  380
cls 117 | anns   449 | imgs  449
