epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1757,0.85256,6.59161,1.11123,0.8616,0.16839,0.20398,0.19225,0.32117,25.0155,0.67375,5.49878e-05,5.49878e-05,5.49878e-05
2,94.8159,0.55847,5.56372,0.93958,0.68634,0.35512,0.38329,0.3577,0.29711,14.2046,0.65504,0.000105177,0.000105177,0.000105177
3,141.415,0.56941,4.48247,0.94479,0.67951,0.37189,0.44815,0.41188,0.35499,12.2057,0.69162,0.000149855,0.000149855,0.000149855
4,190.123,0.55172,3.27868,0.95171,0.69926,0.49529,0.49599,0.46708,0.31502,14.043,0.67144,0.0001422,0.0001422,0.0001422
5,238.335,0.52949,2.94511,0.94612,0.595,0.54602,0.60762,0.55617,0.29713,8.04298,0.6604,0.000133934,0.000133934,0.000133934
6,436.199,0.50084,3.02906,0.91703,0.51766,0.62836,0.61335,0.58267,0.27326,7.36596,0.66111,0.000125667,0.000125667,0.000125667
7,480.414,0.49422,2.3395,0.93105,0.79132,0.56439,0.6336,0.59169,0.29902,6.47256,0.67579,0.000117401,0.000117401,0.000117401
8,533.067,0.47306,1.98751,0.9256,0.73052,0.57088,0.71442,0.68191,0.24,6.26535,0.64381,0.000109134,0.000109134,0.000109134
9,582.624,0.49662,2.00369,0.91541,0.60562,0.7746,0.73104,0.69166,0.27396,6.58008,0.64468,0.000100868,0.000100868,0.000100868
10,629.621,0.4993,2.12741,0.9246,0.55127,0.72691,0.74444,0.7181,0.23158,5.10979,0.63706,9.26015e-05,9.26015e-05,9.26015e-05
11,693.704,0.32041,2.11861,0.82186,0.62556,0.69966,0.76481,0.7324,0.23071,4.86395,0.62849,8.4335e-05,8.4335e-05,8.4335e-05
12,743.457,0.32214,1.94742,0.82417,0.82259,0.60228,0.82875,0.79159,0.24108,4.64992,0.63284,7.60685e-05,7.60685e-05,7.60685e-05
13,792.343,0.33045,1.88047,0.84638,0.71902,0.73365,0.82818,0.79337,0.2223,3.77691,0.6246,6.7802e-05,6.7802e-05,6.7802e-05
14,846.188,0.30976,1.8599,0.7995,0.61286,0.80769,0.80333,0.7818,0.20857,3.94898,0.61874,5.95355e-05,5.95355e-05,5.95355e-05
15,897.648,0.30946,1.7055,0.81975,0.64554,0.77848,0.8248,0.80285,0.19832,3.51062,0.62334,5.1269e-05,5.1269e-05,5.1269e-05
16,944.819,0.29465,1.51649,0.83524,0.82498,0.61119,0.77297,0.75887,0.20172,3.8573,0.62231,4.30025e-05,4.30025e-05,4.30025e-05
17,992.324,0.27382,1.402,0.82768,0.64261,0.80769,0.80088,0.78282,0.18469,3.32706,0.61365,3.4736e-05,3.4736e-05,3.4736e-05
18,1038.87,0.25727,1.47315,0.77232,0.81246,0.67835,0.81819,0.80533,0.19439,3.20455,0.61237,2.64695e-05,2.64695e-05,2.64695e-05
19,1091.43,0.24647,1.46328,0.7783,0.65896,0.79171,0.85258,0.84136,0.19966,3.01167,0.61242,1.8203e-05,1.8203e-05,1.8203e-05
20,1144.41,0.25722,1.2493,0.79482,0.76356,0.73887,0.85553,0.84897,0.18843,3.02315,0.61146,9.9365e-06,9.9365e-06,9.9365e-06
