epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4886,1.03144,5.08036,1.17666,0.86616,0.0625,0.14842,0.13489,0.60263,5.50779,0.95447,4.175e-05,4.175e-05,4.175e-05
2,32.1285,0.66281,3.49627,1.03061,0.84886,0.19792,0.2749,0.23967,0.40482,4.59358,0.83413,8.09541e-05,8.09541e-05,8.09541e-05
3,47.4704,0.5825,2.8046,0.99724,0.33409,0.54711,0.46768,0.43259,0.46037,4.31646,0.83374,0.00011586,0.00011586,0.00011586
4,63.8602,0.48967,2.38826,0.94671,0.46823,0.53125,0.5731,0.54667,0.38449,3.34331,0.80903,0.0001422,0.0001422,0.0001422
5,86.3764,0.45417,2.17369,0.92183,0.89261,0.41099,0.67636,0.64027,0.35955,2.92021,0.80791,0.000133934,0.000133934,0.000133934
6,110.974,0.45825,1.93039,0.92907,0.73372,0.625,0.72376,0.69519,0.34846,2.85705,0.80203,0.000125667,0.000125667,0.000125667
7,136.845,0.4076,1.70688,0.8887,0.80879,0.625,0.75234,0.72445,0.35025,2.52935,0.80047,0.000117401,0.000117401,0.000117401
8,165.154,0.43842,1.58415,0.91029,0.79055,0.56124,0.74986,0.72152,0.35738,2.24159,0.80211,0.000109134,0.000109134,0.000109134
9,191.99,0.43367,1.57097,0.89723,0.62875,0.71875,0.83533,0.79723,0.31051,2.05884,0.78959,0.000100868,0.000100868,0.000100868
10,216.883,0.39756,1.39466,0.88729,0.76625,0.625,0.83945,0.80856,0.33797,2.09771,0.79356,9.26015e-05,9.26015e-05,9.26015e-05
11,247.575,0.30728,1.38842,0.83016,0.66267,0.6875,0.80313,0.77817,0.32491,2.09413,0.78776,8.4335e-05,8.4335e-05,8.4335e-05
12,271.141,0.28985,1.2816,0.82237,0.59329,0.75,0.82186,0.80159,0.30811,1.99445,0.78659,7.60685e-05,7.60685e-05,7.60685e-05
13,295.76,0.30416,1.15817,0.82019,0.6205,0.75,0.85341,0.83168,0.30944,1.91827,0.79002,6.7802e-05,6.7802e-05,6.7802e-05
14,319.051,0.27349,1.13133,0.81769,0.56494,0.8125,0.83794,0.81451,0.30697,1.85148,0.78221,5.95355e-05,5.95355e-05,5.95355e-05
15,343.937,0.27682,1.07503,0.82806,0.78047,0.75,0.82766,0.80762,0.30916,1.7969,0.78163,5.1269e-05,5.1269e-05,5.1269e-05
16,368.773,0.26833,0.96704,0.79904,0.79115,0.75,0.83322,0.81938,0.29588,1.71457,0.77805,4.30025e-05,4.30025e-05,4.30025e-05
17,406.579,0.26615,0.91324,0.81255,0.82979,0.74975,0.83082,0.8116,0.3037,1.68559,0.78205,3.4736e-05,3.4736e-05,3.4736e-05
18,425.759,0.258,0.89244,0.80096,0.76075,0.75,0.83082,0.81378,0.30885,1.70013,0.78302,2.64695e-05,2.64695e-05,2.64695e-05
19,443.454,0.25464,0.89267,0.80724,0.64726,0.82601,0.83082,0.82001,0.30135,1.65457,0.78048,1.8203e-05,1.8203e-05,1.8203e-05
20,460.465,0.25248,0.87399,0.81086,0.68549,0.83414,0.83082,0.8162,0.29205,1.59562,0.77841,9.9365e-06,9.9365e-06,9.9365e-06
