epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1598,0.36988,2.4463,0.86651,0.37923,0.42545,0.25813,0.25124,0.29682,3.39657,0.80181,2.338e-05,2.338e-05,2.338e-05
2,30.55,0.38512,2.30616,0.87578,0.3826,0.47644,0.2636,0.25536,0.29708,3.43856,0.80374,4.68318e-05,4.68318e-05,4.68318e-05
3,45.4816,0.3767,2.40585,0.87484,0.35921,0.43413,0.25325,0.24484,0.29929,3.45116,0.80216,6.86303e-05,6.86303e-05,6.86303e-05
4,60.6776,0.36358,2.29375,0.86392,0.35637,0.40123,0.23558,0.22943,0.30778,3.41243,0.80973,8.87755e-05,8.87755e-05,8.87755e-05
5,74.9901,0.38087,2.36843,0.87282,0.38322,0.33822,0.23318,0.22787,0.31802,3.46832,0.81251,0.000107267,0.000107267,0.000107267
6,89.2531,0.40692,2.37074,0.88724,0.36198,0.41489,0.23999,0.23329,0.34046,3.53329,0.8165,0.000124106,0.000124106,0.000124106
7,103.686,0.38208,2.36844,0.87187,0.40076,0.4073,0.2468,0.23619,0.32268,3.47591,0.81155,0.000133934,0.000133934,0.000133934
8,117.932,0.37648,2.38202,0.87746,0.29155,0.48562,0.25937,0.24808,0.3201,3.57796,0.81297,0.000128423,0.000128423,0.000128423
9,132.278,0.38111,2.11962,0.88472,0.27666,0.47802,0.26813,0.26086,0.30677,3.74956,0.80904,0.000122912,0.000122912,0.000122912
10,146.971,0.35949,2.13624,0.86467,0.32261,0.44469,0.25101,0.23999,0.31003,3.64317,0.80874,0.000117401,0.000117401,0.000117401
11,162.249,0.36239,2.064,0.86491,0.35504,0.37674,0.2432,0.2352,0.31534,3.52625,0.809,0.00011189,0.00011189,0.00011189
12,177.243,0.36909,2.12525,0.88344,0.31192,0.42422,0.25013,0.24216,0.30697,3.4687,0.80778,0.000106379,0.000106379,0.000106379
13,191.164,0.35913,2.00885,0.872,0.28973,0.42602,0.24006,0.23323,0.31547,3.48549,0.81156,0.000100868,0.000100868,0.000100868
14,205.476,0.3827,2.15213,0.88509,0.24522,0.43041,0.23698,0.22838,0.32792,3.56631,0.81199,9.5357e-05,9.5357e-05,9.5357e-05
15,219.654,0.41911,2.10589,0.92326,0.22381,0.46138,0.22688,0.21732,0.33117,3.58132,0.80941,8.9846e-05,8.9846e-05,8.9846e-05
16,234.168,0.37158,2.05467,0.88535,0.31602,0.4276,0.23797,0.22589,0.31668,3.54985,0.80425,8.4335e-05,8.4335e-05,8.4335e-05
17,248.61,0.38081,2.08656,0.88117,0.34819,0.42919,0.24845,0.23886,0.31492,3.54907,0.80482,7.8824e-05,7.8824e-05,7.8824e-05
