epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1246,0.39582,3.14402,0.88432,0.31429,0.46859,0.26257,0.25642,0.30999,3.67082,0.81231,5.46726e-05,5.46726e-05,5.46726e-05
2,57.4223,0.4205,3.04953,0.89002,0.33543,0.37376,0.26221,0.25288,0.31791,3.52204,0.81627,0.000104877,0.000104877,0.000104877
3,85.3826,0.40679,2.81371,0.88313,0.51565,0.35617,0.28666,0.27528,0.31112,3.58626,0.81292,0.000149571,0.000149571,0.000149571
4,113.417,0.4233,2.60136,0.89309,0.50991,0.3416,0.29675,0.28541,0.32393,3.51257,0.81901,0.0001422,0.0001422,0.0001422
5,141.48,0.43108,2.54738,0.88309,0.48849,0.3593,0.31096,0.29727,0.32957,3.38397,0.83013,0.000133934,0.000133934,0.000133934
6,169.549,0.40461,2.41105,0.87541,0.43552,0.39536,0.28736,0.27793,0.32326,3.3877,0.82588,0.000125667,0.000125667,0.000125667
7,197.103,0.384,2.18967,0.86871,0.42761,0.42267,0.3254,0.31837,0.3099,3.5364,0.81501,0.000117401,0.000117401,0.000117401
8,223.956,0.39717,2.31166,0.88653,0.3938,0.41555,0.33091,0.32137,0.32465,3.39583,0.81859,0.000109134,0.000109134,0.000109134
9,250.801,0.38078,2.23896,0.87987,0.43544,0.39948,0.30962,0.30008,0.29837,3.3781,0.80667,0.000100868,0.000100868,0.000100868
10,278.331,0.37635,2.09547,0.87954,0.36992,0.50195,0.31054,0.3028,0.29769,3.40198,0.80484,9.26015e-05,9.26015e-05,9.26015e-05
11,305.329,0.28198,2.27656,0.82474,0.3397,0.50116,0.28908,0.27988,0.31401,3.49418,0.80953,8.4335e-05,8.4335e-05,8.4335e-05
12,332.239,0.2774,2.20714,0.82135,0.36866,0.48104,0.2901,0.28122,0.31653,3.55377,0.80909,7.60685e-05,7.60685e-05,7.60685e-05
13,358.526,0.2797,2.16485,0.82177,0.39884,0.47351,0.29632,0.28846,0.29787,3.41015,0.80199,6.7802e-05,6.7802e-05,6.7802e-05
14,385.308,0.26148,2.13013,0.81685,0.38282,0.53532,0.31415,0.3058,0.30354,3.43565,0.8022,5.95355e-05,5.95355e-05,5.95355e-05
15,411.899,0.25754,2.09342,0.81461,0.36654,0.5192,0.3204,0.31233,0.28605,3.40515,0.79894,5.1269e-05,5.1269e-05,5.1269e-05
16,438.467,0.25545,2.07487,0.82208,0.37475,0.51569,0.31143,0.30289,0.28865,3.44458,0.79923,4.30025e-05,4.30025e-05,4.30025e-05
17,464.547,0.25145,1.99104,0.80298,0.37398,0.50874,0.31372,0.30577,0.29,3.39137,0.79764,3.4736e-05,3.4736e-05,3.4736e-05
18,491.292,0.24397,2.00256,0.81518,0.37513,0.51208,0.30795,0.30188,0.28263,3.36278,0.79634,2.64695e-05,2.64695e-05,2.64695e-05
19,517.612,0.24682,1.98109,0.80695,0.37871,0.50641,0.30854,0.3016,0.28145,3.37018,0.79582,1.8203e-05,1.8203e-05,1.8203e-05
20,544.16,0.24401,1.97577,0.81365,0.3816,0.51678,0.30786,0.30018,0.28534,3.36472,0.79743,9.9365e-06,9.9365e-06,9.9365e-06
